AOI불량률,LOT,Result Ng2,초물 DES 속도,DRY FILM 정보,선폭 OFFSET,양산DES 속도,통합코드,거래처,제품군,공법구분,LAYER,도금구분,노광 설비정보,DES 설비정보,정면 설비정보,Cu 표면두께 USL,Cu 표면두께 SL,Cu 표면두께 LSL,Cu 표면두께 Max_Val,Cu 표면두께 AVG_VAL,Cu 표면두께 Min_Val,Cu 표면두께 Std_Val,Cu 표면두께 Median_Val,부식 Speed,재작업 공정,재작업사유,CL_Etching(염화동) - Cu,CL_Etching(염화동) - HCl,CL_Etching(염화동) - 비중,CL_Etching(염화동) - 온도,CL_Etching-첨가제(HB-120EF),CL_Etching량,CL_Soft Etch - H2SO4,CL_Soft Etch - SPS,CL_박리액 - 농도,CL_수세수 - pH,CL_현상액 - 농도,LCL_Etch factor,LCL_Etching(염화동) - Cu,LCL_Etching(염화동) - HCl,LCL_Etching(염화동) - 비중,LCL_Etching(염화동) - 온도,LCL_Etching-첨가제(HB-120EF),LCL_Etching량,LCL_Soft Etch - H2SO4,LCL_Soft Etch - SPS,LCL_박리액 - 농도,LCL_수세수 - pH,LCL_현상액 - pH,LCL_현상액 - 농도,LSL_Etch factor,LSL_Etching(염화동) - Cu,LSL_Etching(염화동) - HCl,LSL_Etching(염화동) - 비중,LSL_Etching(염화동) - 온도,LSL_Etching-첨가제(HB-120EF),LSL_Etching량,LSL_Soft Etch - H2SO4,LSL_Soft Etch - SPS,LSL_박리액 - 농도,LSL_수세수 - pH,LSL_현상액 - pH,LSL_현상액 - 농도,SL_Etching(염화동) - Cu,SL_Etching(염화동) - HCl,SL_Etching(염화동) - 비중,SL_Etching(염화동) - 온도,SL_Etching-첨가제(HB-120EF),SL_Etching량,SL_Soft Etch - H2SO4,SL_Soft Etch - SPS,SL_박리액 - 농도,SL_수세수 - pH,SL_현상액 - 농도,USL_Etching(염화동) - Cu,USL_Etching(염화동) - HCl,USL_Etching(염화동) - 비중,USL_Etching(염화동) - 온도,USL_Etching-첨가제(HB-120EF),USL_Etching량,USL_Soft Etch - Cu,USL_Soft Etch - H2SO4,USL_Soft Etch - SPS,USL_박리액 - 농도,USL_수세수 - Cl-,USL_수세수 - pH,USL_현상액 - 농도,분석치_Etch factor,분석치_Etching(염화동) - Cu,분석치_Etching(염화동) - HCl,분석치_Etching(염화동) - 비중,분석치_Etching(염화동) - 온도,분석치_Etching-첨가제(HB-120EF),분석치_Etching량,분석치_Soft Etch - Cu,분석치_Soft Etch - H2SO4,분석치_Soft Etch - SPS,분석치_박리액 - 농도,분석치_수세수 - Cl-,분석치_수세수 - pH,분석치_현상액 - pH,분석치_현상액 - 농도
0,A20000,/OK,2.801928543,DF_1,-7.488948493,2.798807565,MDL-000,Client_A,PRD_A,Quartz,10,Alpha,EXP-001,DES-001,PRE-001,24,17,10,19.16232741,17.91943861,16.88809697,0.467409549,17.95943817,2.8,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.291028853,150.4684085,0.519787575,1.369145156,48.12102738,3.021214142,45.19044391,4.45267226,2.950470112,32.72841511,3.037668663,0,6.36530277,11.29909771,1.188188118
0,A20001,/OK,2.102267301,DF_2,-4.98886515,2.098484502,MDL-001,Client_B,PRD_B,Onyx,16,Beta,EXP-002,DES-002,PRE-002,50,40,30,42.84917306,40.56778919,38.14229223,1.114467669,40.57485204,2.1,,,155,1,1.35,48,3,45,3,30,3,6.4,1.1,4.3,134,0.79,1.315,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.7,1.3,43,2.6,42,2,10,2,5.3,10.1,0.9,155,1,1.35,48,3,45,3,30,3,6.4,1.1,185,1.3,1.4,53,3.4,48,30,4,50,4,1,7.5,1.3,46.76138075,152.1023596,1.018728589,1.351890692,47.85999297,2.900838399,45.93984326,5.078015755,3.213591011,31.62797391,3.120704352,0,6.443386462,11.37890267,1.121086555
0,A20002,/OK,2.096442389,DF_2,-4.998324836,2.101130234,MDL-001,Client_B,PRD_B,Onyx,16,Beta,EXP-002,DES-002,PRE-002,50,40,30,44.08644048,42.05969377,40.50945556,0.972073696,41.80983363,2.1,,,155,1,1.35,48,3,45,3,30,3,6.4,1.1,4.3,134,0.79,1.315,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.7,1.3,43,2.6,42,2,10,2,5.3,10.1,0.9,155,1,1.35,48,3,45,3,30,3,6.4,1.1,185,1.3,1.4,53,3.4,48,30,4,50,4,1,7.5,1.3,46.785826,151.9270658,1.019669155,1.34890951,48.00383304,2.900342035,45.93699386,5.078512858,3.219145396,31.66937347,3.123512992,0,6.431321818,11.37738273,1.119036646
0,A20003,/OK,2.100273011,DF_2,-4.988864267,2.100198584,MDL-001,Client_B,PRD_B,Onyx,16,Beta,EXP-003,DES-002,PRE-002,50,40,30,44.72949625,41.84565769,40.05924852,1.271134282,41.59127068,2.1,,,155,1,1.35,48,3,45,3,30,3,6.4,1.1,4.3,134,0.79,1.315,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.7,1.3,43,2.6,42,2,10,2,5.3,10.1,0.9,155,1,1.35,48,3,45,3,30,3,6.4,1.1,185,1.3,1.4,53,3.4,48,30,4,50,4,1,7.5,1.3,46.90180015,152.3310331,1.021458495,1.350359569,47.88651367,2.901043364,45.91444092,5.084968854,3.218435278,31.5728197,3.122116762,0,6.45184128,11.38827981,1.120659239
0,A20004,/OK,2.797953727,DF_1,-7.505139189,2.801641865,MDL-000,Client_A,PRD_A,Quartz,10,Alpha,EXP-004,DES-001,PRE-001,24,17,10,17.61062897,15.57364193,14.66872345,0.693526134,15.59624142,2.8,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.292234988,150.7821555,0.520413602,1.371110173,48.12727447,3.020449876,45.18208581,4.443602386,2.945306262,32.67535687,3.042417613,0,6.356229907,11.26822436,1.190505572
0,A20005,/OK,2.002760862,DF_2,-5.000850829,2.002431007,MDL-002,Client_C,PRD_C,Garnet,16,Alpha,EXP-001,DES-001,PRE-003,35,25,18,29.16596572,26.40438542,24.35988918,1.166035451,26.30872831,2,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.293980056,150.6779091,0.520213741,1.371490668,48.08138848,3.020977684,45.19223772,4.450482699,2.949220941,32.75220648,3.041974449,0,6.361986483,11.26187283,1.190282806
0,A20006,/OK,2.002457396,DF_2,-4.995839812,2.002141592,MDL-002,Client_C,PRD_C,Garnet,16,Alpha,EXP-003,DES-001,PRE-003,35,25,18,27.56380737,24.31034191,21.44994439,1.530894264,24.52899845,2,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.291040381,150.765762,0.519975389,1.368808626,48.09337978,3.015099146,45.18149614,4.445431855,2.950486611,32.68977213,3.040254889,0,6.367730903,11.28236688,1.193038536
0,A20007,/OK,2.0000311,DF_2,-4.997761063,1.99705608,MDL-002,Client_C,PRD_C,Garnet,16,Alpha,EXP-004,DES-001,PRE-003,35,25,18,29.88614926,27.8075603,25.2842345,1.209547536,27.8962332,2,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.295733998,150.6209577,0.51968628,1.368318616,48.1523894,3.020813498,45.26362944,4.455134599,2.949289563,32.62785349,3.038800454,0,6.368327955,11.2860688,1.190682021
0,A20008,/OK,2.100181224,DF_1,-7.512691629,2.097447563,MDL-003,Client_D,PRD_D,Topaz,8,Gamma,EXP-005,DES-001,PRE-001,27,20,13,23.74280403,22.26236026,20.38734952,0.747656802,22.3682157,2.1,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.29102316,150.5572115,0.52047238,1.371760276,48.07615282,3.018725098,45.21842932,4.450950157,2.948105897,32.69649133,3.037115801,0,6.348619522,11.274175,1.190246092
0,A20009,/OK,2.799980194,DF_1,-7.499381579,2.802309505,MDL-000,Client_A,PRD_A,Quartz,10,Alpha,EXP-004,DES-001,PRE-001,24,17,10,19.04398288,17.41543496,16.0492653,0.787340341,17.37200396,2.8,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.291224114,150.5951371,0.520181699,1.366773405,48.03959284,3.022490097,45.23593213,4.438446455,2.946988051,32.72311182,3.04647247,0,6.366711097,11.26840973,1.192141305
